Phecode,Phenotype,Category,Mean Age,#Cases /#Samples,%Female,#SOMAscan Proteins,#Olink Proteins,#Metabolon Metabolites,#Nightingale Metabolites,#RNAseq Gene expression,Download
041.2,Streptococcus infection,infectious diseases,67.91 ± 8.01,2826/384774,54%,0,0,0,0,0,https://drive.google.com/file/d/19eJ7M9yCus6hJwvMwIcnjEhSoLlszULq/view?usp=drivesdk
041.4,E. coli,infectious diseases,67.93 ± 7.99,5413/387619,55%,0,0,0,0,0,https://drive.google.com/file/d/1NsUF9jjxo6MD04tivDLokuo7hXBGkdt6/view?usp=drivesdk
053,Herpes zoster,infectious diseases,68.11 ± 7.96,576/401006,54%,0,0,0,0,0,https://drive.google.com/file/d/1C0FRsRaK1FAKs7ngGRUsbVJKlF4jb1e2/view?usp=drivesdk
053.1,Herpes zoster with nervous system complications,infectious diseases,68.11 ± 7.95,175/400589,54%,0,0,0,0,0,https://drive.google.com/file/d/1nPTWTSPQ3JFcvZmaMFT8bfcevxxBDrTq/view?usp=drivesdk
054,Herpes simplex,infectious diseases,68.11 ± 7.96,358/400774,54%,0,0,0,0,0,https://drive.google.com/file/d/16Hq-jPJ0v0oqcKRoWNc1RTbDpbAHJwiR/view?usp=drivesdk
070,Viral hepatitis,infectious diseases,68.11 ± 7.96,301/400697,54%,0,0,0,0,0,https://drive.google.com/file/d/1cj3BbTQPwG8R9dG8lEAZGIjkoYPsm4m1/view?usp=drivesdk
070.2,Viral hepatitis B,infectious diseases,68.11 ± 7.96,201/400608,54%,0,0,0,0,1,https://drive.google.com/file/d/1BIfaQ_UVvPrUpetRkUMNuVHkC93Gmuu4/view?usp=drivesdk
070.3,Viral hepatitis C,infectious diseases,68.1 ± 7.96,301/400698,54%,0,0,1,0,0,https://drive.google.com/file/d/1HgQU-bM1qo7-RK1Tk-k8KcX-8hHCPIR1/view?usp=drivesdk
070.4,Chronic hepatitis,infectious diseases,68.11 ± 7.96,405/400812,54%,20,3,0,0,55,https://drive.google.com/file/d/17eZqtF3DvEXLhTEnSDlRi2SlZv2MjoKb/view?usp=drivesdk
070.9,Hepatitis NOS,infectious diseases,68.11 ± 7.96,823/401270,54%,0,0,0,0,1,https://drive.google.com/file/d/1wWgSUXsa7UN6cq3VEIq7nffGdBwvsR9S/view?usp=drivesdk
071.1,HIV infection; symptomatic,infectious diseases,68.11 ± 7.96,122/400515,54%,0,0,0,0,0,https://drive.google.com/file/d/1d9H-TL2II5m6trJz7D9FvppmNU7TAloK/view?usp=drivesdk
078,Viral warts & HPV,infectious diseases,68.08 ± 8.0,1340/401782,54%,0,0,0,0,1,https://drive.google.com/file/d/1VbwIvOCed_Ri5tbXw_b_QwV-EqwerfkO/view?usp=drivesdk
079,Viral infection,infectious diseases,68.02 ± 8.06,4247/404811,54%,0,0,0,0,0,https://drive.google.com/file/d/1POfVBmZbMMXotIjSko_S82Y5eTr4e_l3/view?usp=drivesdk
080,Postoperative infection,infectious diseases,67.97 ± 8.06,6214/407556,54%,0,0,0,0,0,https://drive.google.com/file/d/1bKmfttqOyEifJxkPwl3wOoMnwsNbRlZ9/view?usp=drivesdk
081,Infection/inflammation of internal prosthetic device; implant; and graft,infectious diseases,68.06 ± 7.99,1917/403200,54%,0,0,0,0,0,https://drive.google.com/file/d/1Vm-ptwrZfdHE9t4Tlb_i4cX5UK3JI3Ej/view?usp=drivesdk
1000,Burns,,68.1 ± 7.97,740/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1BA6i8rsktc7kDUaPfuCjgUbzjHYXvTRL/view?usp=drivesdk
1001,Foreign body injury,,68.09 ± 7.98,1431/409289,54%,0,0,0,0,1,https://drive.google.com/file/d/16xcE3os2hoEQkXeyQTgslWpLVkeSno0e/view?usp=drivesdk
1002,Symptoms concerning nutrition; metabolism; and development,,67.97 ± 8.01,10257/409289,54%,35,2,1,6,12,https://drive.google.com/file/d/1szv_QxrHy_0CkjmArIjFgpyMiF4R_lRw/view?usp=drivesdk
1004,Other signs and symptoms involving emotional state,,68.11 ± 7.96,1129/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1hYRWEarofmWHZ8owykBCRzqNlZ75V871/view?usp=drivesdk
1005,Other symptoms,,68.09 ± 7.97,2570/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1BdwbhyqehNuSpKFMukvtmcIOIs1PVsnE/view?usp=drivesdk
1006,Crushing injury,,68.11 ± 7.96,274/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1Hq3phrg4A4H440A3bqzVMhuZpmsvwsYy/view?usp=drivesdk
1007,Injury to blood vessels,,68.11 ± 7.96,371/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/16ZeorY4EKQWXsDnG96wwJxDt0zouB3QL/view?usp=drivesdk
1008,Crushing or internal injury to organs,,68.11 ± 7.97,462/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1yS_T8VYaZpfaO2zeE-RST3J0H3CJI0qq/view?usp=drivesdk
1009,Injury; NOS,,67.88 ± 8.18,10358/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/10mkDeBiQHgTNAXP6X9wmd5FslXGok2vm/view?usp=drivesdk
1010,Other tests,,68.01 ± 8.01,6631/409289,54%,3,1,0,0,15,https://drive.google.com/file/d/1nyWHcQD7b9A5jyYl0KVZwYGEqXMy3rGq/view?usp=drivesdk
1011,Complications of surgical and medical procedures,,68.02 ± 8.02,5289/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1MOWMAkuif53exUHnwnZbsi_0TH0vBUpD/view?usp=drivesdk
1013,Asphyxia and hypoxemia,,68.11 ± 7.96,642/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1G30-newz5RLemkcHR0HCGDJLiyITxwZl/view?usp=drivesdk
1015,Effects of other external causes,,68.0 ± 8.05,6254/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1CnaDVklcgiVke9X-dg_lVsXZ_iToJN8P/view?usp=drivesdk
1019,Other ill-defined and unknown causes of morbidity and mortality,,67.54 ± 8.46,18030/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/101Y9GLWpoPLD5tiM5ACMR84mmWDCz53y/view?usp=drivesdk
110.12,Althete's foot,infectious diseases,68.08 ± 7.96,206/403613,54%,0,0,0,0,0,https://drive.google.com/file/d/1qp1J5KbEzmJH_HKE526UeXl0HEvl4hDb/view?usp=drivesdk
1100,Family history,,68.06 ± 7.99,4473/409289,54%,0,0,0,0,0,https://drive.google.com/file/d/1ew_mgN5Bkf0SxQDy6DUgXzDDwxc33T-s/view?usp=drivesdk
112,Candidiasis,infectious diseases,68.07 ± 7.98,4415/408241,54%,4,0,0,0,13,https://drive.google.com/file/d/1eEqtrgTMPdw2isQTh9rwkecCOcjfoCJ7/view?usp=drivesdk
117,Mycoses,infectious diseases,68.09 ± 7.96,257/403668,54%,0,0,0,0,0,https://drive.google.com/file/d/1FcYqUad_O62VvMji-zntg-ImlGtHJ7u8/view?usp=drivesdk
117.4,Aspergillosis,infectious diseases,68.09 ± 7.96,294/403708,54%,0,0,0,0,0,https://drive.google.com/file/d/1ZpH0FU5KY0rm_oxvxEzXFxAgcjOfuD59/view?usp=drivesdk
133,Arthropod-borne diseases,infectious diseases,68.11 ± 7.96,80/408190,54%,0,0,0,0,1,https://drive.google.com/file/d/132P0oVIse069wAZpC6eCSdBUdVEQHS69/view?usp=drivesdk
134.1,Intestinal helminthiases,infectious diseases,68.11 ± 7.96,180/408296,54%,0,0,0,0,0,https://drive.google.com/file/d/1TRnsTRYuaYOCgyRKs5glshiT2ZTyjZxr/view?usp=drivesdk
136,Other infectious and parasitic diseases,infectious diseases,68.11 ± 7.96,544/408766,54%,0,0,0,0,0,https://drive.google.com/file/d/1D1nMKguZQxTbsay4ZA5eTOOyBfazS4ku/view?usp=drivesdk
145,Cancer of mouth,neoplasms,68.1 ± 7.97,325/406236,54%,0,0,0,0,0,https://drive.google.com/file/d/1elpgDVm13OYDznN2HZMkmtwzzdRIw97H/view?usp=drivesdk
145.2,Cancer of tongue,neoplasms,68.1 ± 7.97,490/406412,54%,0,0,0,0,0,https://drive.google.com/file/d/1nsChY-1eP5ZxFQBqZqek7v5aE_CBCJKK/view?usp=drivesdk
145.3,Cancer of major salivary glands,neoplasms,68.1 ± 7.97,223/406126,54%,0,0,0,0,0,https://drive.google.com/file/d/10dcSHfHvy3ElvzPOEGSgn7QffXzMpxT2/view?usp=drivesdk
149.1,Cancer of oropharynx,neoplasms,68.1 ± 7.96,422/406339,54%,0,0,0,0,0,https://drive.google.com/file/d/1_nsaCPqWZ0FCEaBrJsVxYb51YSAhxBq5/view?usp=drivesdk
149.4,Cancer of larynx,neoplasms,68.1 ± 7.96,450/406357,54%,0,0,0,0,0,https://drive.google.com/file/d/1pOVTkW609nVjoz2m6jDHHmmP6BEhdO8u/view?usp=drivesdk
150,Cancer of esophagus,neoplasms,67.91 ± 7.99,1391/382415,54%,0,0,0,0,0,https://drive.google.com/file/d/1auAX9_8PKi6zMZoGxcQykoAvxqnsKF9Y/view?usp=drivesdk
151,Cancer of stomach,neoplasms,67.91 ± 7.99,1061/382046,54%,0,0,0,0,0,https://drive.google.com/file/d/128KPX6jdYaPZJH099JLfOX7tRCWpofFF/view?usp=drivesdk
153,Colorectal cancer,neoplasms,67.79 ± 8.03,312/362805,55%,0,0,0,0,0,https://drive.google.com/file/d/1tb5KzXlDWpUD7Mdi9_eHpVTdEKRrPP3b/view?usp=drivesdk
153.2,Colon cancer,neoplasms,67.76 ± 8.03,5478/368351,55%,0,0,0,0,1,https://drive.google.com/file/d/1aJQRmH5Ras8qRC1DLBJ2ORXQlyVnyQI1/view?usp=drivesdk
153.3,Malignant neoplasm of rectum; rectosigmoid junction; and anus,neoplasms,67.76 ± 8.03,3788/366492,55%,0,0,0,0,2,https://drive.google.com/file/d/19W3pghCRXqq9KUJ2AyYSZLXKl-DGnitx/view?usp=drivesdk
155,Cancer of liver and intrahepatic bile duct,neoplasms,67.91 ± 7.99,594/381555,54%,0,0,0,0,0,https://drive.google.com/file/d/1BDjQLrfxX9iW7ivLY709zc9ruZNaLC6Y/view?usp=drivesdk
155.1,Malignant neoplasm of liver; primary,neoplasms,67.91 ± 7.99,378/381323,54%,0,1,0,0,2,https://drive.google.com/file/d/1U8YMa83S-V5bsPWT5Z_YRH1NZ_kilJIM/view?usp=drivesdk
157,Pancreatic cancer,neoplasms,67.91 ± 7.99,1340/382407,54%,8,4,1,0,1,https://drive.google.com/file/d/1AAvo9FbRCf_gNVlxedLKdWK4tdeorpZk/view?usp=drivesdk
158,Neoplasm of unspecified nature of digestive system,neoplasms,67.89 ± 8.01,1928/382941,54%,0,0,0,0,0,https://drive.google.com/file/d/1XsHmmkLKq6sJaE9EKwutwiOCLOuf_VS9/view?usp=drivesdk
159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,neoplasms,67.85 ± 8.01,8127/389535,54%,0,0,0,0,0,https://drive.google.com/file/d/1NLtkhgho5rb_sxdH9pB-wnukopBLpuei/view?usp=drivesdk
159.2,Malignant neoplasm of small intestine; including duodenum,neoplasms,67.91 ± 7.99,354/381285,54%,0,0,0,0,0,https://drive.google.com/file/d/1BZMYqxsnFbVhifAdpv5JES2AuhIk40Gh/view?usp=drivesdk
159.3,Malignant neoplasm of gallbladder and extrahepatic bile ducts,neoplasms,67.91 ± 7.99,435/381374,54%,0,0,0,0,0,https://drive.google.com/file/d/1iclHsXDqIeGST05WOmitMeakm9z7PmRO/view?usp=drivesdk
159.4,Malignant neoplasm of retroperitoneum and peritoneum,neoplasms,67.91 ± 7.99,376/381312,54%,0,0,0,0,0,https://drive.google.com/file/d/1bcGQ72RAedlyuQGlK4EPQSVFGfLWaQS1/view?usp=drivesdk
165,Cancer within the respiratory system,neoplasms,68.08 ± 7.97,2149/405777,54%,0,0,0,0,0,https://drive.google.com/file/d/1BvN3h2IlMurJBO_osKgZfr5fZ3rStyXE/view?usp=drivesdk
165.1,Cancer of bronchus; lung,neoplasms,68.08 ± 7.96,4243/408125,54%,2,0,4,0,3,https://drive.google.com/file/d/1noPUUzlzMsQfq9k4ceUPW6XtxkhvbnMO/view?usp=drivesdk
170.1,Bone cancer,neoplasms,68.11 ± 7.96,227/408670,54%,0,0,0,0,0,https://drive.google.com/file/d/17BE04up-7NLGkLsaQMJ5uk5lcd9YUMrs/view?usp=drivesdk
170.2,Cancer of connective tissue,neoplasms,68.1 ± 7.97,627/409085,54%,0,0,0,0,0,https://drive.google.com/file/d/1qfAu0Xt9nKs16jZPxPnlIl1GrS4Sun25/view?usp=drivesdk
172,Skin cancer,neoplasms,67.66 ± 8.14,1761/377699,54%,1,0,0,0,0,https://drive.google.com/file/d/1blgAFBh7P1tkNYtlfDW52AkhY9AA_9Yt/view?usp=drivesdk
172.1,Melanomas of skin; dx or hx,neoplasms,67.73 ± 8.03,511/376449,54%,1,0,0,0,0,https://drive.google.com/file/d/1PPACMVgC6RbScEyUjmoW-4rKDFOFts1t/view?usp=drivesdk
172.11,Melanomas of skin,neoplasms,67.64 ± 8.1,6087/382274,54%,3,0,2,0,17,https://drive.google.com/file/d/15JwD-39OfcLKrXa3A_8VQHjZUy6q_A0g/view?usp=drivesdk
172.2,Other non-epithelial cancer of skin,neoplasms,67.45 ± 8.18,26158/403224,54%,40,11,51,1,218,https://drive.google.com/file/d/10iHseoGRiO29gc8riuIo5t7Jc0FmAH_m/view?usp=drivesdk
172.3,Carcinoma in situ of skin,neoplasms,67.75 ± 7.97,2368/378420,54%,4,0,0,0,1,https://drive.google.com/file/d/1K00FeZv1zkdP31fxRPEaQi-SZdkzkMRX/view?usp=drivesdk
173,Neoplasm of uncertain behavior of skin,neoplasms,67.76 ± 7.97,282/376226,54%,0,0,0,0,0,https://drive.google.com/file/d/1KdxXlPW02Pv20SU1gv9f8wbG8WaHxM6t/view?usp=drivesdk
174,Breast cancer,neoplasms,67.79 ± 8.14,1948/360605,50%,0,0,0,0,0,https://drive.google.com/file/d/1LLlgqRDvCQIzu0Bd9VDnAyac0uOkZ5O3/view?usp=drivesdk
174.1,Breast cancer [female],neoplasms,67.41 ± 8.3,4913/185016,100%,1,0,0,0,1,https://drive.google.com/file/d/1zNpELYL-SgufzcElYfgkfHQGf9yX9Pcy/view?usp=drivesdk
174.11,Malignant neoplasm of female breast,neoplasms,66.95 ± 8.56,16860/197441,100%,23,5,1,0,24,https://drive.google.com/file/d/1DtliSrIK2n9VuvferGduwssPbMPaYSmb/view?usp=drivesdk
175,Acquired absence of breast,neoplasms,67.51 ± 8.1,15197/195543,100%,0,0,0,0,1,https://drive.google.com/file/d/1I7_HZK-s-BjGqqmHbPErBHxRg6Of7N-G/view?usp=drivesdk
180,Cervical cancer and dysplasia,neoplasms,67.2 ± 9.12,3446/177087,100%,7,5,0,0,22,https://drive.google.com/file/d/1KvkLfOwcFzjO_gpJk61yKaOJWQW49JIO/view?usp=drivesdk
180.1,Cervical cancer,neoplasms,67.66 ± 8.2,3124/176938,100%,0,0,0,0,0,https://drive.google.com/file/d/1McxDQfP0KptAsD_I5sjGrOg3OM58vl9r/view?usp=drivesdk
180.3,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],neoplasms,66.83 ± 9.53,6531/180184,100%,14,5,2,0,42,https://drive.google.com/file/d/1gv7FTouykgB-cZew7MwH1Y1SWdaeE6gc/view?usp=drivesdk
182,Malignant neoplasm of uterus,neoplasms,67.76 ± 7.97,2235/176050,100%,0,0,0,0,2,https://drive.google.com/file/d/17hH0Bhj8dIEhBKULilMyMZDXNlum7jAO/view?usp=drivesdk
184,Cancer of other female genital organs,neoplasms,67.68 ± 8.07,602/181690,100%,0,0,0,0,0,https://drive.google.com/file/d/1WIKB-Wt3IIh7j5_JCS80TCjpmP-quVFg/view?usp=drivesdk
184.1,Malignant neoplasm of ovary and other uterine adnexa,neoplasms,67.74 ± 7.98,361/181467,100%,0,0,0,0,0,https://drive.google.com/file/d/1B7clNiKuDbL9yaWtxxZXcQFrVuuDx2oC/view?usp=drivesdk
184.11,Malignant neoplasm of ovary,neoplasms,67.65 ± 8.04,3508/184805,100%,0,0,0,0,0,https://drive.google.com/file/d/1Dbzm0xyt4yIgur7a-badsSh6TAQbOTUl/view?usp=drivesdk
184.2,Cancer of other female genital organs (excluding uterus and ovary),neoplasms,67.7 ± 8.02,666/181765,100%,3,1,0,0,7,https://drive.google.com/file/d/1FifliAx_c0pctmUh6rbsGmD1CNvvcitz/view?usp=drivesdk
185,Cancer of prostate,neoplasms,67.21 ± 7.98,12628/168272,0%,14,1,1,0,74,https://drive.google.com/file/d/1BncHjUBz-Zn0pr6HdeVWPUk1KUle38f_/view?usp=drivesdk
187,Cancer of other male genital organs,neoplasms,67.83 ± 8.19,417/174372,0%,0,0,0,0,0,https://drive.google.com/file/d/10P3CJU-QoAT3j4iHzEEwqb2_R-u8Hpmb/view?usp=drivesdk
187.1,Malignant neoplasm of unspecified male genital organ,neoplasms,67.92 ± 8.04,5508/179958,0%,8,0,0,0,16,https://drive.google.com/file/d/19SASRzK_dp4dxpOzhq03eNqWB7cWPJB2/view?usp=drivesdk
187.2,Malignant neoplasm of testis,neoplasms,67.84 ± 8.19,5804/180245,0%,6,0,0,0,15,https://drive.google.com/file/d/1ATwmMJtimkBZGKtQBArtdlSLus7kz9PX/view?usp=drivesdk
189,Cancer of urinary organs (incl. kidney and bladder),neoplasms,68.01 ± 7.98,4537/407043,54%,1,0,0,0,0,https://drive.google.com/file/d/15jG722iQSRvmw1eqjYgGJhFibHYjpG9e/view?usp=drivesdk
189.11,Malignant neoplasm of kidney; except pelvis,neoplasms,68.03 ± 7.97,1902/404270,54%,0,0,0,0,1,https://drive.google.com/file/d/1QgSHygRh9F-gxwdtuYfwH7COca1C8XHQ/view?usp=drivesdk
189.2,Cancer of bladder,neoplasms,68.02 ± 7.98,2148/404457,54%,1,0,0,0,2,https://drive.google.com/file/d/1X80XtKRU1oYmmPqsPog8P6MhcsucC_Lf/view?usp=drivesdk
189.21,Malignant neoplasm of bladder,neoplasms,68.02 ± 7.98,3435/405891,54%,2,0,0,0,5,https://drive.google.com/file/d/1waBGtZLc7OR_WCzpTieT8K-HD0wXZnV7/view?usp=drivesdk
189.4,Malignant neoplasm of other urinary organs,neoplasms,68.04 ± 7.96,300/402571,54%,0,0,0,0,1,https://drive.google.com/file/d/1_TC32QfzcOG3KsHGLZFpjcnESPeWfgHo/view?usp=drivesdk
190,Cancer of eye,neoplasms,68.07 ± 8.03,566/406315,54%,0,0,0,0,0,https://drive.google.com/file/d/11ZZpNlxDoa5nPN_3P1L6mEHtUv0dKIq3/view?usp=drivesdk
191,Manlignant and unknown neoplasms of brain and nervous system,neoplasms,68.1 ± 7.98,478/406247,54%,0,0,0,0,0,https://drive.google.com/file/d/1BWwNGuQaE77gGafdH7CxPUwMvV3JaDvu/view?usp=drivesdk
191.11,Cancer of brain,neoplasms,68.09 ± 7.98,911/406714,54%,0,0,0,0,0,https://drive.google.com/file/d/1nCumd1z0b_R5YWLko9R72oBkyOhfwvML/view?usp=drivesdk
193,Thyroid cancer,neoplasms,68.09 ± 7.99,725/407231,54%,0,0,0,0,1,https://drive.google.com/file/d/1XcA5l75I98rL3GWwuRI21GOzdKqlFj4X/view?usp=drivesdk
194,Cancer of other endocrine glands,neoplasms,68.11 ± 7.96,163/406643,54%,0,0,0,0,0,https://drive.google.com/file/d/18ops536MA0BlLIPHi878jbcdCFjS6kWs/view?usp=drivesdk
195,Cancer; suspected or other,neoplasms,67.72 ± 8.03,1319/352340,54%,0,0,0,0,0,https://drive.google.com/file/d/1g9p2Dc9HkaZxNsppVdxoRkzKlNh3Zh30/view?usp=drivesdk
195.1,Malignant neoplasm; other,neoplasms,67.57 ± 8.11,28193/381362,54%,7,1,50,1,28,https://drive.google.com/file/d/1aqNwpJ0LZsgIC0_U-Ugixdxl1dpapTJn/view?usp=drivesdk
197,Chemotherapy,neoplasms,67.39 ± 8.16,22716/373822,55%,0,0,0,0,1,https://drive.google.com/file/d/10g-r0PLejmSDNJ0bdtojosXXPQEUGS3G/view?usp=drivesdk
198,Secondary malignant neoplasm,neoplasms,67.74 ± 8.01,2865/354101,54%,0,0,0,0,0,https://drive.google.com/file/d/1D_xBlLRoy-IcfyxAPxBT9Hyq1hRe65-D/view?usp=drivesdk
198.1,Secondary malignancy of lymph nodes,neoplasms,67.66 ± 8.05,9027/360720,55%,1,0,0,0,0,https://drive.google.com/file/d/1NKeUeeELJmsJLZv5z2P-LMVrHDulCWV5/view?usp=drivesdk
198.2,Secondary malignancy of respiratory organs,neoplasms,67.74 ± 8.0,4558/356025,54%,0,0,0,0,0,https://drive.google.com/file/d/1hEzwd4DEuRcOTYbguWnwPY4qMunf4gND/view?usp=drivesdk
198.3,Secondary malignant neoplasm of digestive systems,neoplasms,67.74 ± 8.0,3095/354414,54%,0,0,0,0,0,https://drive.google.com/file/d/1fVZjaoOD1JucTtxZgCgPta4hi3N8zXMK/view?usp=drivesdk
198.4,Secondary malignant neoplasm of liver,neoplasms,67.74 ± 8.0,5273/356772,54%,0,0,0,0,1,https://drive.google.com/file/d/13TMT3dtnS0pnIBlmdtkAFj38-Te-kMNs/view?usp=drivesdk
198.5,Secondary malignancy of brain/spine,neoplasms,67.74 ± 8.0,1563/352702,54%,0,0,0,0,0,https://drive.google.com/file/d/1btfzQztHPmup6aEfKXY5OD8ZxGp1kIzb/view?usp=drivesdk
198.6,Secondary malignancy of bone,neoplasms,67.75 ± 8.0,4349/355782,54%,0,0,0,0,0,https://drive.google.com/file/d/1r4P29G_cLSX2K_Qvz_6mTHE2cwydXo3e/view?usp=drivesdk
198.7,Secondary malignant neoplasm of skin,neoplasms,67.74 ± 8.0,371/351391,54%,0,0,0,0,0,https://drive.google.com/file/d/10RVBHgORl332VvSOzH2VXzzDMlST9p93/view?usp=drivesdk
199,Neoplasm of uncertain behavior,neoplasms,67.71 ± 8.04,1931/353012,54%,0,0,0,0,0,https://drive.google.com/file/d/1AetZbBZv59wbQ386iKtRKqdhcLEyIBwB/view?usp=drivesdk
200,Myeloproliferative disease,neoplasms,68.06 ± 7.97,1333/402685,54%,0,0,0,0,1,https://drive.google.com/file/d/128BpXwO7qKBUSbxTBHF34qmqBCXysAwm/view?usp=drivesdk
200.1,Polycythemia vera,neoplasms,68.04 ± 7.97,527/395956,54%,0,0,0,0,1,https://drive.google.com/file/d/1lcIL0NSpai_jAJi68-FkNHJUwUZ7NJv1/view?usp=drivesdk
201,Hodgkin's disease,neoplasms,68.04 ± 8.02,539/401792,54%,3,0,0,0,8,https://drive.google.com/file/d/1ymjrbB6pLHeU7pkHfsTPTnBl_XOdVJHo/view?usp=drivesdk
202,Cancer of other lymphoid; histiocytic tissue,neoplasms,68.04 ± 7.99,2050/403403,54%,0,0,0,0,0,https://drive.google.com/file/d/10N6sB-kx2P3PKYbkzRduypwKxHwgdRNE/view?usp=drivesdk
202.2,Non-Hodgkins lymphoma,neoplasms,68.03 ± 8.0,2614/403995,54%,13,2,0,0,28,https://drive.google.com/file/d/1HuoFH6p2uNim3QtmH2fHqkzc8eVqvHYL/view?usp=drivesdk
202.21,Nodular lymphoma,neoplasms,68.06 ± 7.97,589/401858,54%,6,1,0,0,13,https://drive.google.com/file/d/1dr3ugeSi2NI5svspXBMVlRIA2BvRd7dC/view?usp=drivesdk
202.24,Large cell lymphoma,neoplasms,68.06 ± 7.97,1103/402432,54%,4,1,0,0,11,https://drive.google.com/file/d/1t1MkqrHXuyGm26juB3W23mskWugWyPqN/view?usp=drivesdk
204,Leukemia,neoplasms,68.06 ± 7.98,776/402056,54%,0,0,0,0,0,https://drive.google.com/file/d/1IqA90HtGvyS52T8qKueStDot4bnsLPD2/view?usp=drivesdk
204.12,Lymphoid leukemia; chronic,neoplasms,68.06 ± 7.96,922/402227,54%,0,0,0,0,7,https://drive.google.com/file/d/1d1cyXhPnr2kLtVPUyayYH8zD1pbuiaad/view?usp=drivesdk
204.21,Myeloid leukemia; acute,neoplasms,68.06 ± 7.97,585/401869,54%,0,0,0,0,0,https://drive.google.com/file/d/19f0SM4TfAvGWQbF468aXpWuvltGomk1E/view?usp=drivesdk
204.22,Myeloid leukemia; chronic,neoplasms,68.06 ± 7.97,223/401479,54%,0,0,0,0,0,https://drive.google.com/file/d/1k2F0rV0okKJupCR5Vq21ALHSkMqFZly_/view?usp=drivesdk
204.4,Multiple myeloma,neoplasms,68.06 ± 7.96,1055/402381,54%,0,0,0,0,0,https://drive.google.com/file/d/1T1Zvb3ghsgF04wN7uwNggYH1ZA6ViTgQ/view?usp=drivesdk
208,Benign neoplasm of colon,neoplasms,67.51 ± 8.08,34359/404594,54%,28,8,75,3,60,https://drive.google.com/file/d/1BRKNTZKMxxzo1kJ8tPWKs-aafAafh0wZ/view?usp=drivesdk
210,Benign neoplasm of lip; oral cavity; and pharynx,neoplasms,68.08 ± 7.98,1303/407231,54%,0,0,0,0,0,https://drive.google.com/file/d/1ssqq85nJtiS_p7hPCd-urdDBC5bDTi9_/view?usp=drivesdk
211,Benign neoplasm of other parts of digestive system,neoplasms,67.85 ± 8.01,9951/394354,54%,12,1,0,0,27,https://drive.google.com/file/d/1gY2afi8YdbsY2IqaDLrQKqYlx4KhhqtY/view?usp=drivesdk
